"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"91","91 2019",2019-04-03,"COL",7,"TBA",7,1,0,36,5,0,0,1,1,0,0,0,2,0,13,0,1,1,4,39,6,0,0,0,0,0,0,0,7,1,11,3,0,1,13
"92","92 2019",2019-04-03,"HOU",7,"TEX",6,0,4,32,6,2,0,0,0,0,0,0,2,0,9,0,1,2,7,29,5,1,0,1,4,0,0,0,4,0,13,2,0,0,5
"93","93 2019",2019-04-03,"BAL",6,"TOR",7,3,5,31,6,1,0,1,3,0,0,1,1,0,10,0,1,0,3,31,10,3,0,2,4,0,0,0,2,0,5,0,1,0,4
"94","94 2019",2019-04-04,"CHN",6,"ATL",6,4,9,33,6,0,0,2,4,0,0,1,3,0,7,0,0,0,6,34,13,4,0,0,8,0,1,0,6,1,6,0,1,1,9
"95","95 2019",2019-04-04,"WAS",6,"NYN",7,4,0,30,5,1,0,1,4,1,1,1,4,0,11,1,0,0,6,32,4,0,0,0,0,0,0,0,2,0,14,0,0,1,7
"96","96 2019",2019-04-04,"CIN",6,"PIT",5,0,2,33,6,3,0,0,0,0,0,0,4,1,8,0,0,1,10,32,10,1,0,0,2,0,0,0,0,0,5,1,0,1,6
"97","97 2019",2019-04-04,"TEX",7,"ANA",7,11,4,39,15,3,0,2,11,0,0,2,4,0,10,0,0,1,7,35,8,1,0,2,4,0,0,0,7,0,9,0,0,2,11
"98","98 2019",2019-04-04,"NYA",7,"BAL",7,8,4,37,12,1,0,4,8,0,0,1,3,0,7,0,1,0,6,35,10,1,0,1,2,0,0,0,4,0,12,0,0,1,8
"99","99 2019",2019-04-04,"TOR",8,"CLE",6,1,4,30,3,1,0,0,1,0,0,2,8,0,13,0,0,0,12,28,7,1,0,0,4,1,2,0,5,1,7,0,0,0,8
"100","100 2019",2019-04-04,"KCA",6,"DET",8,4,5,34,8,1,1,1,3,0,1,0,2,0,12,0,0,0,6,29,6,3,0,0,5,0,1,0,7,0,10,2,0,0,8
"101","101 2019",2019-04-04,"BOS",8,"OAK",10,3,7,34,10,0,0,1,3,1,0,0,5,1,7,1,0,1,10,36,13,3,0,1,7,0,0,0,4,1,5,1,0,1,9
"102","102 2019",2019-04-05,"BOS",9,"ARI",8,8,15,38,12,3,0,2,8,0,0,0,3,0,5,0,0,1,6,40,18,4,0,5,14,0,0,0,4,1,8,0,1,1,6
"103","103 2019",2019-04-05,"MIA",8,"ATL",7,0,4,27,3,1,0,0,0,0,0,0,4,0,10,0,0,3,4,31,7,0,0,2,4,0,0,1,2,0,8,0,0,0,6
"104","104 2019",2019-04-05,"LAN",8,"COL",8,10,6,37,13,2,1,3,10,1,1,0,6,0,5,0,0,1,8,34,10,0,0,3,6,0,1,0,6,0,7,0,0,1,8
